"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
6722,"Bokor               ","utca",,-3,,0,
6725,"Bokor               ","utca",,1,,5,
6725,"Bokor               ","utca",,2,,4,
6771,"Bokréta             ","utca","Szőreg",0,,0,
6726,"Boldizsár           ","utca",,0,,0,
6722,"Boldogasszony       ","sugárút",,1,,41,
6725,"Boldogasszony       ","sugárút",,-3,,0,
6771,"Boldogasszony       ","utca","Szőreg",0,,0,
6722,"Bólyai János        ","utca",,0,,0,
6753,"Bolygó              ","utca","Tápé",0,,0,
6728,"Bor                 ","utca",,0,,0,
6726,"Borbála             ","utca",,0,,0,
6725,"Borbás              ","utca",,0,,0,
6791,"Bordányi            ","út","Kiskundorozsma",0,,0,
6729,"Bori Mihály         ","utca",,0,,0,
6791,"Boróka","utca","Kiskundorozsma",0,,0,
6724,"Boross József       ","utca",,0,,0,
6726,"Borostyán           ","utca",,0,,0,
6791,"Bors","utca","Kiskundorozsma",0,,0,
6791,"Borsika","utca","Kiskundorozsma",0,,0,
6725,"Boszorkánysziget    ","utca",,0,,0,
6753,"Botond              ","utca","Tápé",0,,0,
6791,"Bölcs               ","utca","Kiskundorozsma",0,,0,
6723,"Bölcsőde            ","utca",,0,,0,
6753,"Börzsöny            ","utca","Tápé",0,,0,
6791,"Brassói             ","utca","Kiskundorozsma",0,,0,
6710,"Brigád              ","köz","Szentmihály",0,,0,
6791,"Bródy Mihály        ","utca","Kiskundorozsma",0,,0,
6727,"Bronz               ","utca",,0,,0,
6721,"Brüsszeli           ","körút",,-2,,0,
6723,"Brüsszeli           ","körút",,-1,,0,
6753,"Búcsú               ","sor","Tápé",0,,0,
6753,"Budai Nagy Antal    ","utca","Tápé",0,,0,
6728,"Budapesti ","út",,0,,0,
6723,"Budapesti           ","körút",,0,,0,
6771,"Budzsák             ",,"Szőreg",0,,0,
6727,"Bujdosó György      ","utca",,0,,0,
6726,"Bulcsú              ","utca",,0,,0,
6791,"Búza                ","utca","Kiskundorozsma",0,,0,
6727,"Búzavirág           ","utca",,0,,0,
6791,"Buzogány            ","utca","Kiskundorozsma",0,,0,
6726,"Cankó               ","utca",,0,,0,
6791,"Cickafark","utca","Kiskundorozsma",0,,0,
6791,"Cigánytelep         ","telep","Kiskundorozsma",0,,0,
6729,"Cincér","utca","Tompasziget",0,,0,
6726,"Cinke               ","utca",,0,,0,
6757,"Citrom","utca","Gyálarét",0,,0,
6791,"Citromfű","utca","Kiskundorozsma",0,,0,
6723,"Csaba               ","utca",,0,,0,
6725,"Csáktornyai         ","utca",,0,,0,
6724,"Csáky József        ","utca",,0,,0,
6791,"Csalán","utca","Kiskundorozsma",0,,0,
6728,"Csallóközi          ","utca",,0,,0,
6726,"Csalogány           ","utca",,0,,0,
6726,"Csanádi             ","utca",,0,,0,
6729,"Csantavéri          ","utca",,0,,0,
6727,"Csap                ","utca",,0,,0,
6724,"Csaplár Benedek","utca",,0,,0,
6753,"Csatár              ","utca","Tápé",0,,0,
6791,"Csatorna            ","utca","Kiskundorozsma",0,,0,
6727,"Csavar              ","sor",,0,,0,
6724,"Csefkó Gyula        ","utca",,0,,0,
6729,"Cseh Imre           ","tér",,0,,0,
6728,"Csejtei             ","utca",,0,,0,
6724,"Csemegi             ","utca",,0,,0,
6729,"Cserebogár","utca","Tompasziget",0,,0,
6725,"Cserép","utca",,0,,0,
6725,"Cserép","köz",,0,,0,
6725,"Cserepes            ","sor",,0,,0,
6791,"Cseresznye          ","utca","Kiskundorozsma",0,,0,
6727,"Cserfa              ","utca",,0,,0,
6728,"Cserje              ","sor",,0,,0,
6726,"Cserőke             ","utca",,0,,0,
6753,"Csertő              ","utca","Tápé",0,,0,
6724,"Cserzy Mihály       ","utca",,0,,0,
6729,"Csíbor","utca","Tompasziget",0,,0,
6753,"Csiki               ","utca","Tápé",0,,0,
6723,"Csillag             ","tér",,0,,0,
6725,"Csillag             ","utca",,0,,0,
6726,"Csinszka            ","utca",,0,,0,
6791,"Csipkebogyó","utca","Kiskundorozsma",0,,0,
6726,"Csíz                ","utca",,0,,0,
6753,"Csobánka            ","utca","Tápé",0,,0,
6725,"Csókai              ","utca",,0,,0,
6753,"Csokonai            ","utca","Tápé",0,,0,
6723,"Csongor             ","tér",,0,,0,
6728,"Csongor Győző","utca","Baktó",0,,0,
6721,"Csongrádi           ","sugárút",,1,,15,
6721,"Csongrádi           ","sugárút",,2,,16,
6723,"Csongrádi           ","sugárút",,17,,93,
6724,"Csongrádi           ","sugárút",,-3,,0,
6725,"Csonka              ","utca",,0,,0,
6723,"Csorba              ","utca",,0,,0,
6724,"Cső                 ","utca",,0,,0,
6725,"Csöndes             ","utca",,0,,0,
6723,"Csörlő              ","utca",,0,,0,
6723,"Csuka               ","utca",,0,,0,
6710,"Csuma               ","köz","Szentmihály",0,,0,
6791,"Czékus              ","utca","Kiskundorozsma",0,,0,
6791,"Dália","utca","Kiskundorozsma",0,,0,
6727,"Dalos               ","utca",,0,,0,
6724,"Damjanich           ","utca",,0,,0,
6723,"Dandár              ","utca",,0,,0,
6722,"Dáni János          ","utca",,0,,0,
6723,"Dankó Pista         ","utca",,0,,0,
6729,"Darázs","utca","Tompasziget",0,,0,
6727,"Dárda               ","utca",,0,,0,
6725,"Daru                ","utca",,0,,0,
6791,"Daruhalom","dűlő","Kiskundorozsma",0,,0,
6757,"Datolya","utca","Gyálarét",0,,0,
6720,"Deák Ferenc         ","utca",,0,,0,
6723,"Debreceni           ","utca",,0,,0,
6727,"Délceg              ","utca",,0,,0,
6757,"Deli Károly         ","utca","Gyálarét",0,,0,
6791,"Délibáb             ","utca","Kiskundorozsma",0,,0,
6726,"Demeter","utca",,0,,0,
6791,"Derce               ","utca","Kiskundorozsma",0,,0,
6727,"Deres","utca",,0,,0,
6726,"Derkovits ","fasor",,0,,0,
6726,"Déryné              ","utca",,0,,0,
6729,"Dettre János        ","utca",,0,,0,
6753,"Déva                ","utca","Tápé",0,,0,
6727,"Diadal              ","utca",,0,,0,
6791,"Dinnyés             ","utca","Kiskundorozsma",0,,0,
6726,"Diófa               ","utca",,0,,0,
6753,"Dobi István         ","utca","Tápé",0,,0,
6725,"Dobó                ","utca",,0,,0,
6727,"Dobogó              ","utca",,0,,0,
6791,"Dobos               ","utca","Kiskundorozsma",0,,0,
6753,"Dobozi              ","utca","Tápé",0,,0,
6727,"Dolgos              ","utca",,0,,0,
6720,"Dóm                 ","tér",,0,,0,
6791,"Domaszéki           ","út","Kiskundorozsma",0,,0,
6729,"Dongó","utca","Tompasziget",0,,0,
6753,"Dorogi Imre         ","utca","Tápé",0,,0,
6726,"Dorottya            ","utca",,0,,0,
6728,"Dorozsmai","út",,1,,41,
6728,"Dorozsmai","út",,2,,58,
6791,"Dorozsmai           ","út","Kiskundorozsma",-3,,0,
6720,"Dózsa               ","utca",,0,,0,
6753,"Dráva               ","utca","Tápé",0,,0,
6727,"Duda                ","utca",,0,,0,
6791,"Dudás               ","utca","Kiskundorozsma",0,,0,
6720,"Dugonics            ","tér",,-3,,0,
6721,"Dugonics            ","utca",,0,,0,
6722,"Dugonics            ","tér",,7,,9,
6727,"Duna                ","utca",,0,,0,
6710,"Dűlő                ","utca","Szentmihály",0,,0,
6791,"Ecetfa","utca","Kiskundorozsma",0,,0,
6729,"Ecsedi Géza         ","utca",,0,,0,
6757,"Egres","utca","Gyálarét",0,,0,
6726,"Egressy Béni        ","utca",,0,,0,
6710,"Egyenlőség          ","utca","Szentmihály",0,,0,
6722,"Egyetem             ","utca",,0,,0,
6710,"Eke                 ","köz","Szentmihály",0,,0,
6757,"Előd                ","utca","Gyálarét",0,,0,
6726,"Emese               ","utca",,0,,0,
