"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
3527,"Éder György            ","utca",,0,,0,
3508,"Egres                  ","utca",,0,,0,
3521,"Egressy Béni           ","utca       ","Szirma",0,,0,
3528,"Egressy Gábor          ","utca",,0,,0,
3508,"Egri                   ","utca",,0,,0,
3515,"Egyetem                ","út",,0,,0,
3515,"Egyetemváros",,,0,,0,
3516,"Egyetértés             ","utca       ","Görömböly",0,,0,
3510,"Elnök","út","Lyukó",0,,0,
3532,"Előd                   ","utca",,0,,0,
3535,"Előhegy                ","utca",,0,,0,
3533,"Első                   ","utca",,0,,0,
3534,"Endresz György         ","utca",,0,,0,
3535,"Endrődi Sándor         ","utca",,0,,0,
3519,"Enyedi György          ","utca       ","Tapolca",0,,0,
3529,"Eötvös Lóránd          ","utca",,0,,0,
3535,"Eper                   ","utca",,0,,0,
3526,"Eperjesi               ","utca",,0,,0,
3534,"Erdélyi                ","utca",,0,,0,
3535,"Erdész                 ","utca",,0,,0,
3510,"Erdő","út","Pereces",0,,0,
3518,"Erdő                   ","sor      ","Pereces",0,,0,
3535,"Erdő                   ","utca",,0,,0,
3518,"Erenyő                 ","utca       ","Pereces",0,,0,
3518,"Erenyő völgy","völgy",,0,,0,
3521,"Erkel Ferenc           ","utca       ","Szirma",0,,0,
3531,"Ernye Bán              ","utca",,0,,0,
3517,"Erzsébet               ","sétány   ","Lillafüred",0,,0,
3530,"Erzsébet               ","tér",,0,,0,
3516,"Erzsébet királyné      ","útja     ","Görömböly",0,,0,
3516,"Erzsébet királyné      ","útja     ","Görömböly",0,,0,
3525,"Estike                 ","utca",,0,,0,
3519,"Esze Tamás             ","utca       ","Tapolca",0,,0,
3531,"Eszperantó ","park",,0,,0,
3531,"Eszperantó             ","tér",,0,,0,
3508,"Eszperantó             ","utca       ","Görömböly",0,,0,
3525,"Eszter                 ","utca",,0,,0,
3516,"Esztergályos           ","utca       ","Görömböly",0,,0,
3529,"Eszterházy Antal       ","utca",,0,,0,
3525,"Fábián                 ","utca",,0,,0,
3525,"Fábián kapu","kapu",,0,,0,
3532,"Fadrusz János          ","utca",,0,,0,
3519,"Fagyöngy               ","utca       ","Tapolca",0,,0,
3519,"Fajdos                 ","utca",,0,,0,
3518,"Faller Jenő            ","utca       ","Pereces",0,,0,
3518,"Farbaky István         ","utca       ","Pereces",0,,0,
3516,"Farkas Antal           ","utca       ","Görömböly",0,,0,
3529,"Farkas Jenő            ","utca",,0,,0,
3521,"Fáskert                ","utca",,0,,0,
3530,"Fasor                  ","utca",,0,,0,
3518,"Fátyolka               ","utca","Pereces",0,,0,
3525,"Fazekas                ","utca",,0,,0,
3517,"Fazola Frigyes","sétány","Lillafüred",0,,0,
3534,"Fazola Henrik          ","utca",,0,,0,
3519,"Fecske                 ","utca       ","Tapolca",0,,0,
3516,"Felhő                  ","utca       ","Görömböly",0,,0,
3525,"Felmező                ","utca",,0,,0,
3530,"Felső                  ","sor",,0,,0,
3529,"Felsőruzsin","körút",,0,,0,
3510,"Felsősor","út","Lyukó",0,,0,
3501,"Felsőszentgyörgy       ","dűlő",,0,,0,
