"IRSZ.","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
7634,"Cikk-Cakk","utca",,0,,0,
7634,"Cincér              ","dűlő",,0,,0,
7630,"Cinege              ","dűlő",,0,,0,
7630,"Cinka Panna         ","utca",,0,,0,
7635,"Cinke               ","dűlő",,0,,0,
7634,"Cirfandli           ","utca",,0,,0,
7621,"Ciszterci           ","köz",,0,,0,
7621,"Citrom              ","utca",,0,,0,
7629,"Corvin              ","utca",,0,,0,
7630,"Csaba               ","utca",,0,,0,
7627,"Csákány             ","utca",,0,,0,
7632,"Csalogány           ","utca",,0,,0,
7634,"Csalogány           ","dűlő",,0,,0,
7634,"Csap                ","dűlő",,0,,0,
7634,"Csap                ","köz",,0,,0,
7691,"Csap                ","utca","Vasas",0,,0,
7628,"Csapó János         ","utca",,0,,0,
7627,"Csárda              ","utca",,0,,0,
7691,"Csarnok             ","köz","Vasas",0,,0,
7629,"Csekey István       ","utca",,0,,0,
7623,"Csend               ","utca",,0,,0,
7630,"Csengő","utca",,0,,0,
7634,"Cseralja            ","dűlő",,0,,0,
7634,"Cseralja            ","utca",,0,,0,
7628,"Cserbokros ","dülő",,0,,0,
7634,"Cserebogár          ","dűlő",,0,,0,
7634,"Cserebogár          ","köz",,0,,0,
7693,"Cseresznyés ","út","Hird",0,,0,
7635,"Cseresznyés         ","köz",,0,,0,
7635,"Cserfa              ","köz",,0,,0,
7635,"Cserfa              ","köz",,0,,0,
7635,"Cserfa              ","utca",,0,,0,
7631,"Cserge","dülő",,0,,0,
7634,"Cserkúti            ","út",,0,,0,
7628,"Csertető",,,0,,0,
7625,"Cserző              ","köz",,0,,0,
7631,"Csikor Kálmán       ","utca",,0,,0,
7626,"Csillag             ","utca",,0,,0,
7624,"Csillagvirág        ","utca",,0,,0,
7628,"Csille-köz              ",,,0,,0,
7636,"Csipke              ","utca",,0,,0,
7635,"Csobolyó","dülő",,0,,0,
7628,"Csók István         ","utca",,0,,0,
7635,"Csóka               ","dűlő",,0,,0,
7628,"Csokonai            ","utca",,0,,0,
7632,"Csontváry           ","utca",,0,,0,
7635,"Csoronika           ","dűlő",,0,,0,
7624,"Csortos Gyula       ","utca",,1,,3,
7624,"Csortos Gyula       ","utca",,2,,14,
7635,"Csortos Gyula       ","utca",,-3,,0,
7691,"Csósi               ","utca","Vasas",0,,0,
7627,"Csöpp               ","utca",,0,,0,
7635,"Csurgó              ","dűlő",,0,,0,
7635,"Csurgó              ","köz",,0,,0,
7635,"Csurgó-tető         ","dűlő",,0,,0,
7627,"Czerékvölgy",,,0,,0,
7622,"Czinderi            ","utca",,0,,0,
7691,"D.                  ","utca","Vasas",0,,0,
7630,"Dagály              ","utca",,0,,0,
7624,"Damjanich           ","utca",,0,,0,
7628,"Danitzpuszta","puszta",,0,,0,
7630,"Dankó Pista         ","utca",,0,,0,
7634,"Darázs              ","dűlő",,0,,0,
7623,"Dárda               ","utca",,0,,0,
7634,"Daru                ","dűlő",,0,,0,
7630,"Deák Ferenc         ","utca",,0,,0,
7627,"Debreceni Márton    ","utca",,0,,0,
7626,"Délibáb             ","utca",,0,,0,
7635,"Demokrácia          ","utca",,0,,0,
7634,"Denevér             ","dűlő",,0,,0,
7636,"Derék-réti          ","út",,0,,0,
7625,"Derkovits           ","utca",,0,,0,
7627,"Derűs               ","utca",,0,,0,
7632,"Diana               ","tér",,0,,0,
7631,"Dijasnyereg         ","út",,0,,0,
7622,"Diófa               ","utca",,0,,0,
7627,"Diós                ","dűlő",,0,,0,
7630,"Diósi               ","út",,0,,0,
7621,"Dischka Győző       ","utca",,0,,0,
7630,"Ditz-malom          ","utca",,0,,0,
7629,"Dobó István         ","utca",,0,,0,
7628,"Dobó Katalin        ","utca",,0,,0,
7628,"Dobogó              ","dűlő",,0,,0,
7622,"Dohány              ","utca",,0,,0,
7621,"Dóm                 ","tér",,0,,0,
7625,"Domb                ","utca",,0,,0,
7633,"Dombay János  (Dr.)       ","utca",,0,,0,
7625,"Domonkos            ","utca",,0,,0,
7635,"Donátus             ","köz",,0,,0,
7635,"Donátusi            ","út",,0,,0,
7634,"Dongó               ","dűlő",,0,,0,
7632,"Dóra                ","utca",,0,,0,
7627,"Dózsa György        ","utca",,0,,0,
7635,"Dömörkapui","út",,0,,0,
7627,"Dömörkapui","turistaház",,0,,0,
7626,"Dugonics            ","utca",,0,,0,
7634,"Dulimán             ","dűlő",,0,,0,
7634,"Dzsámi              ","utca",,0,,0,
7624,"Édesanyák           ","útja",,0,,0,
7630,"Edison              ","utca",,0,,0,
7634,"Éger                ","köz",,0,,0,
7634,"Égervölgy",,,0,,0,
7627,"Égett-hegyi         ","út",,0,,0,
7624,"Egres               ","utca",,0,,0,
7632,"Egressy             ","utca",,0,,0,
7628,"Egyenlőség","köz",,0,,0,
7628,"Egyenlőség          ","utca",,0,,0,
7626,"Egyetem             ","utca",,0,,0,
7630,"Előd                ","utca",,0,,0,
7626,"Endre               ","utca",,0,,0,
7633,"Endresz György      ","utca",,0,,0,
7630,"Engel János József  ","utca",,0,,0,
7632,"Enyezd              ","út",,0,,0,
7630,"Eozin               ","utca",,0,,0,
