"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
9019,"Gyirmóti                      ","út","Gyirmót",0,,0,
9022,"Gyógyszertár                  ","utca",,0,,0,
9025,"Gyógyszertár                  ","köz",,0,,0,
9027,"Gyóni Géza","utca","Városrét",0,,0,
9028,"Gyopár                        ","utca",,0,,0,
9026,"Gyöngy                        ","utca",,0,,0,
9030,"Gyöngyszem                    ","utca",,0,,0,
9028,"Gyöngyvirág                   ","utca",,0,,0,
9011,"Győri                         ","tanya","Győrszentiván",0,,0,
9012,"Győri                         ","út","Ménfőcsanak",0,,0,
9012,"Győzelem                      ","utca","Ménfőcsanak",0,,0,
9026,"Gyümölcs                      ","utca",,0,,0,
9023,"Hadnagy                       ","utca",,0,,0,
9024,"Hajdú                         ","utca",,0,,0,
9012,"Hajnal                        ","utca","Ménfőcsanak",0,,0,
9012,"Hajnalcsillag                 ","utca","Ménfőcsanak",0,,0,
9022,"Hal                           ","köz",,0,,0,
9025,"Haladás                       ","utca",,0,,0,
9029,"Halász                        ","utca",,0,,0,
9012,"Halász Ödön","utca","Ménfőcsanak",0,,0,
9030,"Hargitta                      ","utca",,0,,0,
9012,"Hármashatár                   ","út","Ménfőcsanak",0,,0,
9025,"Hársfa                        ","utca",,0,,0,
9019,"Határ","út","Gyirmót",0,,0,
9019,"Határ","köz","Gyirmót",0,,0,
9027,"Hecse                         ","puszta",,0,,0,
9026,"Hédervári                     ","út",,0,,0,
9012,"Hegyalja                      ","utca","Ménfőcsanak",0,,0,
9012,"Hegymester                    ","utca","Ménfőcsanak",0,,0,
9028,"Hegytető","utca",,0,,0,
9030,"Heltai Jenő                   ","utca",,0,,0,
9011,"Hérics","út","Győrszentiván",0,,0,
9023,"Herman Ottó                   ","utca",,-3,,0,
9024,"Herman Ottó                   ","utca",,1,,9,
9024,"Herman Ottó                   ","utca",,2,,8,
9025,"Híd                           ","utca",,0,,0,
9022,"Hó                            ","köz",,0,,0,
9024,"Hold                          ","utca",,0,,0,
9025,"Holt Duna                     ","körút",,0,,0,
9011,"Homoksori                     ","út","Győrszentiván",0,,0,
9026,"Honfi                         ","utca",,0,,0,
9011,"Honfoglalás                   ","utca","Győrszentiván",0,,0,
9024,"Honleány                      ","utca",,0,,0,
9021,"Honvéd                        ","liget",,0,,0,
9024,"Honvéd                        ","utca",,0,,0,
9012,"Horgos                        ","utca","Ménfőcsanak",0,,0,
9024,"Horváth Árpád","utca",,0,,0,
9012,"Hóvirág                       ","utca","Ménfőcsanak",0,,0,
9025,"Hungária ","utca",,0,,0,
9024,"Hunyadi                       ","utca",,0,,0,
9026,"Ibolya                        ","utca",,0,,0,
9023,"Ifjúság                       ","körút",,0,,0,
9023,"Íjász                         ","utca",,0,,0,
9028,"Iker","utca",,0,,0,
9024,"Ikva                          ","utca",,0,,0,
9024,"Illyés Gyula                  ","utca",,0,,0,
9025,"Imaház                        ","utca",,0,,0,
9023,"Ipar                          ","utca",,-3,,0,
9027,"Ipar                          ","utca",,1,,61,
9027,"Ipar                          ","utca",,2,,50,
9025,"Irányi Dániel                 ","utca",,0,,0,
9026,"Irinyi János                  ","utca",,0,,0,
9028,"Isaszeg                       ","utca",,0,,0,
9022,"Iskola                        ","utca",,0,,0,
9030,"István király                 ","út",,0,,0,
9025,"Iszkápa                       ","köz",,0,,0,
9011,"Ivánháza                      ","puszta","Győrszentiván",0,,0,
9028,"Jáki","utca",,0,,0,
9025,"Jakobinus                     ","utca",,0,,0,
9030,"Jászai Mari                   ","utca",,0,,0,
9022,"Jedlik Ányos",,,0,,0,
9030,"Jegenyefa                     ","sor",,0,,0,
9028,"Jereváni                      ","út",,0,,0,
9011,"Jogar","út","Győrszentiván",0,,0,
9021,"Jókai                         ","utca",,0,,0,
9024,"Jósika                        ","utca",,0,,0,
9028,"József Attila                 ","utca",,0,,0,
9027,"Juharfa","utca",,0,,0,
9023,"Kacagány                      ","utca",,0,,0,
9028,"Kakashegy                     ","utca",,0,,0,
9028,"Kakashegyi","dűlő",,0,,0,
9029,"Kalapács                      ","utca",,0,,0,
9028,"Kalász","út",,0,,0,
9011,"Kálmán Imre                   ","út","Győrszentiván",0,,0,
9026,"Kálóczy                       ","tér",,0,,0,
9024,"Kálvária                      ","utca",,0,,0,
9025,"Kálvinista                    ","utca",,0,,0,
9025,"Kámán                         ","utca",,0,,0,
9027,"Kandó                         ","utca",,0,,0,
9022,"Káposztás                     ","köz",,0,,0,
9021,"Káptalandomb                  ","domb",,0,,0,
9026,"Kárász                        ","utca",,0,,0,
9011,"Kard","út","Győrszentiván",0,,0,
9030,"Karikás Frigyes               ","utca",,0,,0,
9030,"Karinthy Frigyes              ","utca",,0,,0,
9028,"Kárpát                        ","utca",,0,,0,
9023,"Kartács                       ","utca",,0,,0,
9023,"Kassák Lajos                  ","utca",,0,,0,
9012,"Kastély                       ","utca","Ménfőcsanak",0,,0,
9023,"Katona József                 ","utca",,0,,0,
9025,"Kazamata                      ","utca",,0,,0,
9021,"Kazinczy                      ","utca",,0,,0,
9011,"Kecskeméti szőlő          ",,"Győrszentiván",0,,0,
9027,"Kelta                         ","utca",,0,,0,
9030,"Kenderáztató                  ","utca",,0,,0,
9011,"Kenderes                      ","út","Győrszentiván",0,,0,
9019,"Kenderföldi                   ","út","Gyirmót",0,,0,
9022,"Kenyér                        ","köz",,0,,0,
9030,"Kereknád                      ","utca",,0,,0,
9025,"Kereszt                       ","utca",,0,,0,
9024,"Kert                          ","utca",,0,,0,
9011,"Kertaljai                     ","utca","Győrszentiván",0,,0,
9026,"Kertész                       ","utca",,0,,0,
9011,"Kicsi                         ","út","Győrszentiván",0,,0,
9025,"Kígyó                         ","utca",,0,,0,
9030,"Kinizsi Pál                   ","utca",,0,,0,
9021,"Király                        ","utca",,0,,0,
9012,"Királyszék                    ","út","Ménfőcsanak",0,,0,
9025,"Kis                           ","utca",,0,,0,
9028,"Kisdiófa                      ","utca",,0,,0,
9012,"Kisdobos                      ","utca","Ménfőcsanak",0,,0,
9021,"Kisfaludy                     ","utca",,1,,31,
9021,"Kisfaludy                     ","utca",,2,,30,
9022,"Kisfaludy                     ","utca",,-3,,0,
9011,"Kishegy                   ","hegy","Győrszentiván",0,,0,
9025,"Kishosszúvölgy                ","völgy",,0,,0,
9027,"Kiskút                        ","liget",,0,,0,
9027,"Kiskúti                       ","út",,0,,0,
9027,"Kiskúti gátőrház              ","őrház",,0,,0,
9027,"Kiskúti vízmű",,,0,,0,
9028,"Kismegyeri                    ","út",,0,,0,
9028,"Kismegyeri vasútállomás       ","vasútállomás",,0,,0,
9030,"Kismező                       ","utca",,0,,0,
9025,"Kispásztor                    ","utca",,0,,0,
9025,"Kiss Ernő                     ","utca",,0,,0,
9022,"Kiss János                    ","utca",,0,,0,
9011,"Kisvasúti                     ","utca","Győrszentiván",0,,0,
9027,"Klapka                        ","utca",,0,,0,
9025,"Knézich                       ","utca",,0,,0,
9029,"Kócsa Ferenc                  ","utca",,0,,0,
9023,"Kodály Zoltán                 ","utca",,0,,0,
9012,"Koltói Anna                   ","utca","Ménfőcsanak",0,,0,
9012,"Komlóvölgyi                   ","út","Ménfőcsanak",0,,0,
9028,"Konini                        ","út",,0,,0,
9028,"Kopja                         ","utca",,0,,0,
9028,"Koppány                       ","utca",,0,,0,
9025,"Korányi Frigyes               ","tér",,0,,0,
9025,"Korbonits                     ","utca",,0,,0,
9024,"Kormos István                 ","utca",,0,,0,
9011,"Korona","út","Győrszentiván",0,,0,
9012,"Koroncói                      ","út","Ménfőcsanak",0,,0,
9025,"Kossuth Lajos                 ","utca",,0,,0,
9029,"Kosztolányi Dezső             ","utca",,-1,,0,
9030,"Kosztolányi Dezső             ","utca",,-2,,0,
9024,"Kovács Margit                 ","utca",,0,,0,
9021,"Kovács Pál Dr.                ","utca",,0,,0,
9027,"Kölcsey                       ","utca",,0,,0,
9011,"Kör                           ","tér","Győrszentiván",0,,0,
9027,"Kőrisfa","utca",,0,,0,
9023,"Körkemence                    ","utca",,0,,0,
9026,"Körte                         ","utca",,0,,0,
9026,"Körtöltés                     ","utca",,0,,0,
9027,"Kövecses                      ","utca",,0,,0,
9028,"Köves","utca",,0,,0,
9012,"Kővirág                       ","utca","Ménfőcsanak",0,,0,
9024,"Közép                         ","utca",,0,,0,
9026,"Közép                         ","dűlő",,0,,0,
9025,"Köztelek                      ","utca",,0,,0,
