"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
4034,"Budai Nagy Antal         ","utca",,2,,68,
4030,"Bujdosó                  ","utca",,0,,0,
4030,"Bulgár                   ","utca",,0,,0,
4024,"Burgundia                ","utca",,0,,0,
4029,"Busi                     ","utca",,0,,0,
4033,"Búza                     ","utca",,0,,0,
4030,"Búzavirág                ","utca",,0,,0,
4033,"Buzogány                 ","utca",,0,,0,
4079,"Bükk                     ","utca","Bánk",0,,0,
4002,"Bükkmogyoró","utca",,0,,0,
4002,"Bürök","utca",,0,,0,
4033,"Cecília                  ","utca",,0,,0,
4029,"Cegléd                   ","utca",,0,,0,
4002,"Cickafark","utca",,0,,0,
4002,"Ciklámen","utca",,0,,0,
4002,"Cikória","utca",,0,,0,
4031,"Cimbalom                 ","utca",,0,,0,
4002,"Cinege","utca",,0,,0,
4031,"Citera                   ","utca",,0,,0,
4002,"Citromfű","utca",,0,,0,
4032,"Civis                    ","utca",,0,,0,
4030,"Csákány                  ","utca",,0,,0,
4002,"Csalán","utca",,0,,0,
4002,"Csalitos","utca",,0,,0,
4031,"Csalogány                ","utca",,0,,0,
4032,"Csanak                   ","utca",,0,,0,
4030,"Csángó                   ","utca",,0,,0,
4031,"Csányi Dániel            ","utca",,0,,0,
4026,"Csap                     ","utca",,0,,0,
4024,"Csapó                    ","utca",,1,,35,
4024,"Csapó                    ","utca",,2,,18,
4029,"Csapó                    ","utca",,-3,,0,
4028,"Csapókert                ","utca",,0,,0,
4002,"Csárda","utca",,0,,0,
4225,"Csárdás                  ","utca","Józsa",0,,0,
4031,"Császár Péter            ","utca",,0,,0,
4027,"Csata                    ","utca",,0,,0,
4225,"Csatár                   ","utca","Józsa",0,,0,
4033,"Csáthy                   ","utca",,-3,,0,
4034,"Csáthy                   ","utca",,1,,61,
4034,"Csáthy                   ","utca",,2,,62,
4002,"Csatorna","sor",,0,,0,
4026,"Csemete                  ","utca",,0,,0,
4034,"Csendes                  ","utca",,0,,0,
4034,"Csenger","utca",,0,,0,
4029,"Csengő                   ","utca",,0,,0,
4002,"Cséplő                   ","utca",,0,,0,
4030,"Cser                     ","utca",,0,,0,
4002,"Csereág","utca",,0,,0,
4002,"Cserebogár","utca",,0,,0,
4033,"Cserei                   ","utca",,0,,0,
4026,"Cserepes                 ","utca",,0,,0,
4030,"Cseresznye               ","utca",,0,,0,
4030,"Cserköz                  ","utca",,0,,0,
4002,"Cserlevél","utca",,0,,0,
4030,"Csermely","utca",,0,,0,
4002,"Cserszömörce","utca",,0,,0,
4027,"Csigekert                ","utca",,0,,0,
4002,"Csíkhal","utca",,0,,0,
4030,"Csikós                   ","utca",,0,,0,
4029,"Csillag                  ","utca",,0,,0,
4002,"Csipkebokor","utca",,0,,0,
4002,"Csipkerózsa","utca",,0,,0,
4002,"Csipkés","utca",,0,,0,
4078,"Csiz                     ","utca","Haláp",0,,0,
4034,"Csizmadia                ","utca",,0,,0,
4034,"Csobolyó                 ","utca",,0,,0,
4026,"Csók                     ","utca",,0,,0,
4002,"Csóka","utca",,0,,0,
4026,"Csokonai                 ","utca",,0,,0,
4002,"Csombor","utca",,0,,0,
4030,"Csónak                   ","utca",,0,,0,
4034,"Csongor","utca",,0,,0,
4030,"Csongrád","utca",,0,,0,
4029,"Csonka                   ","utca",,0,,0,
4225,"Csonkatorony             ","utca","Józsa",0,,0,
4030,"Csordás Ferenc           ","utca",,0,,0,
